zip,latitude,longitude,bbox
91325,34.236031,-118.517589,"-118.537102,34.208401,-118.502298,34.261159"
91326,34.280466,-118.557581,"-118.596208,34.25726,-118.523323,34.303478"
91330,34.247613,-118.526083,"-118.531719,34.238973,-118.523213,34.257339"
91331,34.255617,-118.420784,"-118.450538,34.223781,-118.38508,34.289803"
91335,34.201053,-118.54068,"-118.562289,34.180205,-118.518481,34.220985"
91340,34.286688,-118.435079,"-118.455848,34.266618,-118.411297,34.305963"
91342,34.315151,-118.385102,"-118.517805,34.254338,-118.254705,34.365422"
91343,34.238283,-118.480681,"-118.502667,34.220124,-118.451878,34.257461"
91344,34.293918,-118.507516,"-118.547784,34.25383,-118.467389,34.341644"
91345,34.265932,-118.459475,"-118.472187,34.249597,-118.44202,34.291621"
91350,34.433587,-118.500712,"-118.546813,34.386332,-118.434253,34.474822"
91351,34.433219,-118.462926,"-118.510042,34.404437,-118.420263,34.472246"
91352,34.231896,-118.366421,"-118.422619,34.201196,-118.290771,34.258735"
91354,34.464909,-118.554287,"-118.579079,34.427783,-118.531407,34.503942"
91355,34.424653,-118.589246,"-118.659626,34.378685,-118.537841,34.461148"
91356,34.155099,-118.547553,"-118.568895,34.125821,-118.527221,34.184236"
91364,34.15478,-118.595091,"-118.641276,34.130383,-118.561392,34.173325"
91367,34.177047,-118.615455,"-118.668163,34.157924,-118.562201,34.190895"
91371,34.184518,-118.57644,"-118.581541,34.179985,-118.570948,34.188384"
91381,34.377484,-118.613107,"-118.6929,34.319351,-118.539755,34.432835"
91384,34.530722,-118.686397,"-118.820915,34.406088,-118.554638,34.666238"
91387,34.398792,-118.373205,"-118.466895,34.336346,-118.251212,34.467306"
91390,34.522865,-118.392145,"-118.547492,34.38415,-118.239555,34.644992"
91401,34.178114,-118.431465,"-118.450896,34.164855,-118.412684,34.193937"
91402,34.224077,-118.444831,"-118.468737,34.207345,-118.420324,34.250619"
91403,34.146561,-118.462838,"-118.487485,34.126192,-118.443396,34.167289"
91405,34.201165,-118.448146,"-118.470568,34.189681,-118.422521,34.215094"
91406,34.198163,-118.489756,"-118.518596,34.162804,-118.466122,34.221411"
91411,34.178523,-118.459234,"-118.474145,34.164823,-118.4487,34.193918"
91423,34.148503,-118.432692,"-118.453227,34.126725,-118.412221,34.166678"
91436,34.150858,-118.492297,"-118.518501,34.127689,-118.469468,34.180103"
91501,34.2005,-118.295774,"-118.315043,34.177145,-118.27996,34.221666"
91502,34.176885,-118.309345,"-118.322926,34.164195,-118.296168,34.19031"
91504,34.204516,-118.326955,"-118.350369,34.184912,-118.304248,34.221529"
91505,34.174761,-118.346835,"-118.370313,34.142747,-118.325341,34.210681"
91506,34.171189,-118.323915,"-118.338347,34.153513,-118.304679,34.189865"
91601,34.168539,-118.372564,"-118.39503,34.157638,-118.351812,34.179428"
91602,34.151026,-118.366262,"-118.388344,34.142174,-118.345166,34.160828"
91604,34.138812,-118.393488,"-118.422502,34.119038,-118.360807,34.156791"
91605,34.207159,-118.400349,"-118.427189,34.192119,-118.361041,34.227239"
91606,34.186541,-118.388684,"-118.42247,34.17761,-118.358803,34.193974"
91607,34.166145,-118.400086,"-118.414181,34.150256,-118.387729,34.179408"
91608,34.138256,-118.352821,"-118.362957,34.130939,-118.34323,34.143348"
91702,34.265586,-117.867292,"-118.051395,34.10673,-117.650454,34.379198"
91706,34.09641,-117.968207,"-118.008054,34.059795,-117.9253,34.132554"
91711,34.128512,-117.715605,"-117.750769,34.079477,-117.677576,34.165396"
91722,34.097257,-117.906199,"-117.942012,34.078998,-117.872461,34.114059"
91723,34.084757,-117.886468,"-117.903308,34.073453,-117.872387,34.096773"
91724,34.080683,-117.855008,"-117.872668,34.051975,-117.826084,34.106682"
91731,34.078819,-118.040663,"-118.072927,34.062751,-118.018451,34.097117"
91732,34.073411,-118.014447,"-118.030582,34.041522,-117.997465,34.105566"
91733,34.045548,-118.053141,"-118.083622,34.018415,-118.02153,34.07105"
91740,34.118778,-117.853836,"-117.88329,34.105475,-117.812863,34.130945"
91741,34.153722,-117.843715,"-117.890791,34.125325,-117.793842,34.179662"
91744,34.028875,-117.937316,"-117.979309,34.003416,-117.886457,34.053154"
91745,33.999287,-117.973184,"-118.015738,33.972812,-117.93063,34.031783"
91746,34.044266,-117.986223,"-118.028091,34.019197,-117.957039,34.066029"
91748,33.9766,-117.899651,"-117.952278,33.945731,-117.857926,34.011138"
91750,34.160869,-117.772739,"-117.823661,34.079048,-117.724548,34.223139"
91754,34.050988,-118.144616,"-118.169885,34.033445,-118.122329,34.069779"
91755,34.04799,-118.114997,"-118.130152,34.026994,-118.093123,34.07166"
91759,34.254068,-117.691493,"-117.771019,34.164256,-117.593753,34.338963"
91765,33.988271,-117.814468,"-117.868374,33.945936,-117.767045,34.042876"
91766,34.041797,-117.756906,"-117.802119,34.018554,-117.706727,34.059731"
91767,34.081455,-117.738481,"-117.757545,34.058655,-117.711067,34.1126"
91768,34.063893,-117.790583,"-117.834298,34.030908,-117.750183,34.095848"
91770,34.064326,-118.083646,"-118.108108,34.029609,-118.055768,34.095017"
91773,34.110034,-117.809796,"-117.852176,34.063655,-117.774431,34.16518"
91775,34.114455,-118.089435,"-118.121095,34.101707,-118.06729,34.130742"
91776,34.08988,-118.094906,"-118.113775,34.071201,-118.072226,34.105244"
91780,34.10147,-118.055495,"-118.077446,34.085103,-118.024406,34.120996"
91789,34.018311,-117.854612,"-117.895736,33.959029,-117.814607,34.062406"
91790,34.067322,-117.937713,"-117.967055,34.047394,-117.916516,34.092493"
91791,34.061097,-117.89404,"-117.923384,34.039359,-117.857897,34.08891"
91792,34.025845,-117.899928,"-117.926636,34.001728,-117.86788,34.047315"
91801,34.090728,-118.127528,"-118.16066,34.069767,-118.108181,34.111146"
91803,34.074948,-118.146229,"-118.165293,34.059943,-118.122915,34.092227"
93243,34.77688,-118.801406,"-118.957837,34.643331,-118.660972,35.018577"
93510,34.465131,-118.214194,"-118.292136,34.373542,-118.110313,34.542752"
93532,34.684712,-118.544193,"-118.727797,34.59666,-118.329637,34.783256"
93534,34.715524,-118.151231,"-118.170998,34.645716,-118.129399,34.791788"
93535,34.7131,-117.878277,"-118.146383,34.601886,-117.666873,34.823301"
93536,34.747053,-118.368635,"-118.691192,34.630861,-118.16555,34.820156"
93543,34.489135,-117.970846,"-118.030218,34.365318,-117.88951,34.58001"
93544,34.493011,-117.754327,"-117.895705,34.397086,-117.655235,34.587293"
93550,34.41325,-118.091691,"-118.20877,34.24536,-117.979035,34.660657"
93551,34.601677,-118.231024,"-118.378184,34.513327,-118.111998,34.662693"
93552,34.571526,-118.023102,"-118.07917,34.470097,-117.969133,34.660778"
93553,34.422455,-117.905533,"-118.013323,34.338068,-117.820295,34.557944"
93563,34.396607,-117.760438,"-117.875875,34.33901,-117.650459,34.470912"
93591,34.601865,-117.812264,"-117.991839,34.557935,-117.666651,34.668278"
